Date: <<2012/12/02 19:56:49>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 19:56:49>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 19:56:49>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Document.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/Element/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::isUplink() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Head.php>>, Line: <<56>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/Element/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::isUplink() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:13:51>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Document.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/Element/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::isUplink() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Head.php>>, Line: <<56>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/Element/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::isUplink() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/02 20:31:00>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Document.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/Element/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::isUplink() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Head.php>>, Line: <<56>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/Element/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::isUplink() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/04 19:24:45>>, File: <<Element.php>>, Line: <<58>>, Path: <<project/geomobile/lib/DvWDOM/Wall4PHP-1.1/Wall/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TagUtil::getWallMarkup() should not be called statically, assuming $this from incompatible context>> 
